지점,지점명,일시,강수량(mm),강수량 QC플래그,적설(cm),3시간신적설(cm),현상번호(국내식)
108,서울,2024-02-11 06:00,,,,,19
108,서울,2024-02-11 07:00,,,,,19
108,서울,2024-02-11 14:00,,,,,40
108,서울,2024-02-11 15:00,0,,,,4005
108,서울,2024-02-11 16:00,,9,,,4005
108,서울,2024-02-11 17:00,,9,,,4005
108,서울,2024-02-11 18:00,0,,,,40
108,서울,2024-02-11 19:00,,9,,,40
108,서울,2024-02-11 20:00,,9,,,40
108,서울,2024-02-11 21:00,,9,,,40
108,서울,2024-02-11 22:00,,9,,,4019
108,서울,2024-02-11 23:00,,9,,,19
108,서울,2024-02-12 00:00,,9,,,19
108,서울,2024-02-12 01:00,,,,,19
108,서울,2024-02-12 02:00,,,,,19
108,서울,2024-02-12 03:00,,,,,19
108,서울,2024-02-12 04:00,,,,,19
108,서울,2024-02-12 06:00,,,,,19
108,서울,2024-02-12 07:00,,,,,19
108,서울,2024-02-12 08:00,,,,,19
108,서울,2024-02-12 09:00,,,,,19
108,서울,2024-02-12 10:00,,,,,19
108,서울,2024-02-12 11:00,,,,,19
108,서울,2024-02-12 12:00,,,,,4019
108,서울,2024-02-12 13:00,,,,,40
108,서울,2024-02-12 14:00,,,,,40
108,서울,2024-02-12 20:00,,,,,40
108,서울,2024-02-12 21:00,,,,,40
108,서울,2024-02-12 22:00,,,,,40
108,서울,2024-02-12 23:00,,,,,40
108,서울,2024-02-13 00:00,,,,,40
108,서울,2024-02-13 01:00,,,,,40
108,서울,2024-02-13 02:00,,,,,40
108,서울,2024-02-13 03:00,,,,,40
108,서울,2024-02-13 04:00,,,,,40
108,서울,2024-02-13 05:00,,,,,40
108,서울,2024-02-13 06:00,,,,,40
108,서울,2024-02-13 07:00,,,,,40
108,서울,2024-02-13 08:00,,,,,4019
108,서울,2024-02-13 09:00,,,,,19
108,서울,2024-02-13 10:00,,,,,19
108,서울,2024-02-13 11:00,,,,,4019
108,서울,2024-02-13 12:00,,,,,40
108,서울,2024-02-13 22:00,,,,,19
108,서울,2024-02-13 23:00,,,,,19
108,서울,2024-02-14 00:00,,,,,19
108,서울,2024-02-14 01:00,,,,,19
108,서울,2024-02-14 02:00,,,,,19
108,서울,2024-02-14 03:00,,,,,19
108,서울,2024-02-14 04:00,,,,,19
108,서울,2024-02-14 05:00,,,,,19
108,서울,2024-02-14 06:00,,,,,19
108,서울,2024-02-14 07:00,,,,,19
108,서울,2024-02-14 08:00,,,,,19
108,서울,2024-02-14 09:00,,,,,19
108,서울,2024-02-14 10:00,,,,,19
108,서울,2024-02-14 11:00,,,,,19
108,서울,2024-02-14 12:00,,,,,19
108,서울,2024-02-14 21:00,,,,,19
108,서울,2024-02-14 22:00,,,,,19
